3 2727
3 3 9185
3 2 9786
2 1 7504
2 2 6725
3 3 1899
3 1 4618
3 2 8194
2 2 6545
1 2 5554
1 1 787
3 1 5597
1 2 4481
2 1 4563
1 2 9035
2 2 540
3 1 5805
1 2 3443
2 3 240
3 3 7316
2 1 8804
1 1 1850
1 1 3974
3 2 7128
3 1 3119
2 3 8574
3 2 3457
1 2 6629
2 3 2960
3 3 1257
1 1 9375
3 3 9556
2 1 3523
2 1 3031
2 1 3029
2 3 6290
3 1 3307
1 1 5595
3 3 8740
2 3 8168
2 1 9299
1 1 6042
3 1 6833
3 3 5513
3 1 880
1 3 9626
3 2 9968
3 3 5995
3 3 1853
3 2 9930
3 3 5937
2 2 5485
2 2 9558
1 3 4653
2 3 3677
3 3 5972
3 3 3044
3 3 3856
2 3 492
1 2 5516
3 3 9539
1 2 4518
1 2 4630
3 3 7802
3 3 2957
1 2 528
1 3 7150
2 1 9954
2 1 8594
1 3 8473
3 3 1432
2 2 5543
1 1 6731
3 1 3541
2 3 3453
3 1 8368
2 3 2496
2 2 8715
1 2 3978
3 3 7464
2 2 7267
3 1 2021
2 2 6924
1 3 3172
2 1 2162
1 3 3875
3 2 1945
2 1 1389
2 2 5557
1 3 2226
3 1 7760
3 1 447
3 3 8721
1 2 3206
1 3 7969
3 2 2903
2 2 235
3 3 9567
1 1 7277
3 2 604
1 1 5577
1 1 199
1 3 4008
2 1 4781
3 3 8218
3 1 5721
2 2 5757
3 2 9640
2 1 7747
3 1 1948
1 2 8206
1 1 6716
2 3 1277
1 1 1246
1 3 6552
2 2 6545
1 1 6979
2 1 769
2 1 4043
3 1 5295
2 1 4048
3 2 8610
1 3 2328
3 3 9106
2 2 2927
3 2 396
1 3 2401
1 2 1662
2 1 8264
3 2 752
1 2 7267
3 3 4009
2 3 2229
3 3 1294
2 3 3308
1 3 6313
2 2 6221
3 3 4530
1 2 7737
3 3 7587
2 2 392
1 3 6500
1 3 6172
1 1 1623
3 1 2320
2 1 3224
3 3 2338
2 1 5931
1 3 5335
1 1 4639
3 2 339
3 3 547
2 1 5271
2 3 1698
1 3 7478
1 3 3091
1 3 1744
1 1 6635
3 1 9835
2 2 1380
1 1 5372
2 1 9671
2 2 5419
2 3 7372
3 2 1689
2 1 1879
1 2 1041
3 3 1675
2 2 17
1 3 5534
3 3 9688
1 3 2303
1 3 7053
3 1 1590
3 2 1606
3 1 8031
2 2 4429
1 1 2030
3 3 2948
3 2 6267
1 1 7673
1 3 5031
3 3 6235
1 1 7128
1 2 5681
3 1 5844
2 3 5604
2 1 925
2 2 9616
1 2 4505
1 2 8891
3 3 390
1 3 4804
3 2 1272
3 2 4964
3 2 6298
1 3 8220
2 1 5427
1 1 3740
2 2 5635
2 1 5868
3 3 9316
1 1 944
2 3 5520
2 2 421
3 3 3738
1 1 6137
2 2 9510
2 1 2596
2 2 430
2 2 3330
3 1 7297
3 3 895
1 1 5584
1 1 5829
2 1 3383
1 1 8170
2 3 8324
2 2 4972
2 2 734
3 3 867
